code,name,date,close,pct_change,close_to_high,vol_ratio20,vol_ratio50,macd_hist,score,reasons
001289,龙源电力,2026-06-04,19.31,0.0255,0.9545,1.856,1.873,0.2737,7.0,????????????20????????60??????????
000718,苏宁环球,2026-06-04,2.23,0.0985,1.0,1.713,1.784,0.0389,7.0,??????????????20??????????????MACD????
600508,上海能源,2026-06-04,14.7,0.0117,0.9906,1.651,1.722,0.2617,7.0,??????????????????????MACD????
600293,三峡新材,2026-06-04,3.6,0.1009,1.0,1.612,2.171,0.0525,7.0,??????????????20??????????
000823,超声电子,2026-06-04,17.41,0.0253,0.9915,1.585,2.269,0.0448,7.0,?????????????????????????MACD?3???
603605,珀莱雅,2026-06-04,66.48,0.0339,0.9908,1.54,2.227,2.328,7.0,???????????????????????
002263,大东南,2026-06-04,3.9,0.0317,0.9949,1.426,0.667,0.0241,7.0,???????????????????MACD?3???
002962,五方光电,2026-06-04,20.5,0.0103,0.9842,1.42,1.742,0.0963,7.0,????????????????????MACD?3???
000725,京东方Ａ,2026-06-04,6.15,0.1002,1.0,1.375,2.571,0.1913,7.0,?????????20????????60??????????
603990,麦迪科技,2026-06-04,22.96,0.0132,0.9692,1.359,1.929,1.0841,7.0,???????20????????60???????????MACD????
603201,常润股份,2026-06-04,17.95,0.0228,0.9713,1.317,1.849,0.4715,7.0,????????????20???????????MACD????
002824,和胜股份,2026-06-04,27.45,0.0928,1.0,1.314,1.145,0.0549,7.0,??????????????????????MACD?3???
601869,长飞光纤,2026-06-04,455.89,0.0245,0.97,1.197,1.085,8.604,7.0,???????20????????60??????????????MACD?3???
603773,沃格光电,2026-06-04,122.4,0.0301,0.9664,1.125,1.408,5.9945,7.0,?????????20????????60??????????
600183,生益科技,2026-06-04,143.96,0.0203,0.974,1.063,1.296,4.9694,7.0,????????????20????????60??????????
603311,金海高科,2026-06-04,38.53,0.0272,0.9804,1.049,1.58,1.647,7.0,????????????20????????60???????????MACD???????????
603002,宏昌电子,2026-06-04,17.57,0.015,0.9938,1.041,1.184,0.0334,7.0,?????????????????MACD?3???
